Matricula ; Cargo ; Mês Pag. ; Evento ; Descrição ; Tipo ; Valor
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;1;Horas Normais;Provento;6.596,15
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;233;Desc.Copart. Unimed;Desconto;2,82
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;249;Subs. Empresa Alimentação;Outros;300
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;1981;Variavel DPO-Trimestral;Provento;5.722,12
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;2000;INSS;Desconto;713,08
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;2004;IRRF;Desconto;2.322,07
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;2453;Vale Transporte;Desconto;136
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;2470;Desconto Alimentação;Desconto;1,5
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;2478;Desconto Refeição;Desconto;2,5
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;2500;FGTS;Outros;985,46
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;909091;GPS parte empresa;;2.463,65
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;909092;GPS Terceiros;;406,5
1182;RESPONSAVEL DE VENDAS INTERNAC;jun/20;909093;GPS Acidente Trabalho;;339,21
1703;ASS. COMERCIAL EXPORTACAO;jun/20;1;Horas Normais;Provento;2.597,33
1703;ASS. COMERCIAL EXPORTACAO;jun/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1703;ASS. COMERCIAL EXPORTACAO;jun/20;2000;INSS;Desconto;233,3
1703;ASS. COMERCIAL EXPORTACAO;jun/20;2004;IRRF;Desconto;34,5
1703;ASS. COMERCIAL EXPORTACAO;jun/20;2470;Desconto Alimentação;Desconto;1,5
1703;ASS. COMERCIAL EXPORTACAO;jun/20;2478;Desconto Refeição;Desconto;2,5
1703;ASS. COMERCIAL EXPORTACAO;jun/20;2500;FGTS;Outros;207,78
1703;ASS. COMERCIAL EXPORTACAO;jun/20;909091;GPS parte empresa;;519,47
1703;ASS. COMERCIAL EXPORTACAO;jun/20;909092;GPS Terceiros;;85,71
1703;ASS. COMERCIAL EXPORTACAO;jun/20;909093;GPS Acidente Trabalho;;71,52
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;1;Horas Normais;Provento;4.870,00
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;226;Subs.Emp.Unimed Est. Enf.;Outros;625,4
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;249;Subs. Empresa Alimentação;Outros;300
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;1981;Variavel DPO-Trimestral;Provento;607,3
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;2000;INSS;Desconto;625,75
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;2004;IRRF;Desconto;412,81
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;2470;Desconto Alimentação;Desconto;1,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;2478;Desconto Refeição;Desconto;2,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;2500;FGTS;Outros;438,18
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;909091;GPS parte empresa;;1.095,46
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;909092;GPS Terceiros;;180,75
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jun/20;909093;GPS Acidente Trabalho;;150,83
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;1;Horas Normais;Provento;842,19
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;14;Hrs Atestado até 15 dias;Provento;256,32
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;1951;Insalubridade;Provento;219,75
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;2000;INSS;Desconto;102,96
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;2469;Farmácia;Desconto;195,86
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;2470;Desconto Alimentação;Desconto;1,5
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;2478;Desconto Refeição;Desconto;2,5
1647;AUXILIAR DE SERVIÇOS GERAIS;jun/20;2500;FGTS;Outros;105,46
